SUMLEV,Geo,sexo,PAISNAC,pob
SL050,34164848008,9,351,6
SL050,34164848008,6,343,5
SL050,34164848008,1,228,3
SL050,34164848007,9,340,7
SL050,34164848007,6,323,3
SL050,34164848007,1,340,4
SL050,34164848006,9,128,5
SL050,34164848006,6,128,2
SL050,34164848006,1,128,3
SL050,34164848005,9,343,7
SL050,34164848005,6,343,3
SL050,34164848005,1,343,4
SL050,34164848004,9,203,5
SL050,34164848004,6,323,4
SL050,34164848004,1,203,4
SL050,34164848003,9,128,795
SL050,34164848003,6,128,395
SL050,34164848003,1,128,400
SL050,34164848002,9,228,41
SL050,34164848002,6,343,23
SL050,34164848002,1,228,20
SL050,34164848001,9,228,68
SL050,34164848001,6,128,29
SL050,34164848001,1,228,43
SL050,34162020907,9,323,3
SL050,34162020907,6,228,2
SL050,34162020907,1,323,1
SL050,34162020906,9,125,1
SL050,34162020906,6,125,1
SL050,34162020906,1,343,1
SL050,34162020905,9,123,4
SL050,34162020905,6,321,2
SL050,34162020905,1,123,3
SL050,34162020904,9,340,5
SL050,34162020904,6,340,3
SL050,34162020904,1,340,2
SL050,34162020903,9,123,68
SL050,34162020903,6,123,33
SL050,34162020903,1,123,35
SL050,34162020902,9,323,387
SL050,34162020902,6,323,253
SL050,34162020902,1,323,134
SL050,34162020901,9,228,40
SL050,34162020901,6,323,18
SL050,34162020901,1,228,23
SL050,34162020081,9,228,117
SL050,34162020081,6,228,58
SL050,34162020081,1,228,59
SL050,34162020080,9,228,190
SL050,34162020080,6,228,82
SL050,34162020080,1,228,108
SL050,34162020079,9,323,288
SL050,34162020079,6,323,208
SL050,34162020079,1,323,80
SL050,34162020078,9,128,54
SL050,34162020078,6,128,23
SL050,34162020078,1,128,31
SL050,34162020077,9,228,104
SL050,34162020077,6,228,43
SL050,34162020077,1,228,61
SL050,34162020076,9,128,648
SL050,34162020076,6,128,286
SL050,34162020076,1,128,362
SL050,34162020075,9,228,108
SL050,34162020075,6,323,60
SL050,34162020075,1,228,71
SL050,34162020074,9,228,200
SL050,34162020074,6,341,96
SL050,34162020074,1,228,119
SL050,34162020073,9,323,48
SL050,34162020073,6,323,33
SL050,34162020073,1,128,22
SL050,34162020072,9,123,85
SL050,34162020072,6,123,40
SL050,34162020072,1,123,45
SL050,34162020071,9,323,239
SL050,34162020071,6,323,175
SL050,34162020071,1,228,148
SL050,34162020070,9,123,33
SL050,34162020070,6,123,12
SL050,34162020070,1,123,21
SL050,34162020069,9,321,1962
SL050,34162020069,6,321,1368
SL050,34162020069,1,228,704
SL050,34162020068,9,228,5
SL050,34162020068,6,228,4
SL050,34162020068,1,123,4
SL050,34162020067,9,228,509
SL050,34162020067,6,228,202
SL050,34162020067,1,228,307
SL050,34162020066,9,128,8
SL050,34162020066,6,128,3
SL050,34162020066,1,128,5
SL050,34162020065,9,228,170
SL050,34162020065,6,228,65
SL050,34162020065,1,228,105
SL050,34162020064,9,123,283
SL050,34162020064,6,123,130
SL050,34162020064,1,123,153
SL050,34162020063,9,128,58
SL050,34162020063,6,128,28
SL050,34162020063,1,128,30
SL050,34162020062,9,228,59
SL050,34162020062,6,228,24
SL050,34162020062,1,228,35
SL050,34162020061,9,323,89
SL050,34162020061,6,323,64
SL050,34162020061,1,239,51
SL050,34162020060,9,323,2
SL050,34162020060,6,323,1
SL050,34162020060,1,323,1
SL050,34162020059,9,326,164
SL050,34162020059,6,326,100
SL050,34162020059,1,326,64
SL050,34162020058,9,128,27
SL050,34162020058,6,128,13
SL050,34162020058,1,128,14
SL050,34162020057,9,315,2
SL050,34162020057,6,315,1
SL050,34162020057,1,228,1
SL050,34162020056,9,239,119
SL050,34162020056,6,104,29
SL050,34162020056,1,239,104
SL050,34162020055,9,343,288
SL050,34162020055,6,343,171
SL050,34162020055,1,426,167
SL050,34162020054,9,123,10
SL050,34162020054,6,220,5
SL050,34162020054,1,123,7
SL050,34162020053,9,228,50
SL050,34162020053,6,228,17
SL050,34162020053,1,228,33
SL050,34162020052,9,228,20
SL050,34162020052,6,123,7
SL050,34162020052,1,228,14
SL050,34162020051,9,228,77
SL050,34162020051,6,228,38
SL050,34162020051,1,228,39
SL050,34162020050,9,228,13
SL050,34162020050,6,228,7
SL050,34162020050,1,228,6
SL050,34162020049,9,128,221
SL050,34162020049,6,128,94
SL050,34162020049,1,128,127
SL050,34162020048,9,350,4
SL050,34162020048,6,350,2
SL050,34162020048,1,350,2
SL050,34162020047,9,123,9
SL050,34162020047,6,123,6
SL050,34162020047,1,128,4
SL050,34162020046,9,228,27
SL050,34162020046,6,323,11
SL050,34162020046,1,228,18
SL050,34162020045,9,228,743
SL050,34162020045,6,343,443
SL050,34162020045,1,228,450
SL050,34162020044,9,203,17
SL050,34162020044,6,203,8
SL050,34162020044,1,203,9
SL050,34162020043,9,228,44
SL050,34162020043,6,228,18
SL050,34162020043,1,228,26
SL050,34162020042,9,228,73
SL050,34162020042,6,228,32
SL050,34162020042,1,228,41
SL050,34162020041,9,123,4
SL050,34162020041,6,340,3
SL050,34162020041,1,123,3
SL050,34162020040,9,228,214
SL050,34162020040,6,345,99
SL050,34162020040,1,228,130
SL050,34162020039,9,239,49
SL050,34162020039,6,323,32
SL050,34162020039,1,239,41
SL050,34162020038,9,345,6
SL050,34162020038,6,321,2
SL050,34162020038,1,345,4
SL050,34162020037,9,110,1
SL050,34162020037,6,126,1
SL050,34162020037,1,110,1
